patent_id	inventor_id
4451748	4451748-1
4453237	4239990-3
4453237	4406013-1
4453237	4406013-3
4460915	4388147-1
4460981	4412310-4
4460981	4460981-1
4460982	3959781-2
4460982	4992980-2
4460982	4460982-3
4460982	4460982-4
4468759	4202045-2
4468759	4406013-3
4468759	6061764-2
4473880	4153933-1
4473880	4243958-1
4473880	4325120-2
4473880	4438494-2
4473880	4438494-5
4473880	4473880-2
4474624	4412375-1
4480307	4153933-1
4480307	4243958-1
4480307	4438494-2
4480307	4438494-5
4484259	4338675-1
4484259	4338675-2
4484259	4363091-2
4496861	4496861-1
4499428	4496861-1
4503534	4153933-1
4503534	4407016-1
4503534	4438494-2
4503534	4438494-3
4503534	4438494-5
4503535	4153933-1
4503535	4407016-1
4503535	4438494-2
4503535	4438494-3
4503535	4438494-5
4505026	4282648-2
4505026	4282648-3
4505026	4505026-1
4505026	4505026-4
4509144	4338675-1
4509144	4338675-2
4509144	4363091-2
4514827	4300209-1
4519050	4358833-3
4519849	3938108-2
4519849	4412310-2
4519849	4412310-3
4519849	4412310-4
4527180	4797856-3
4530074	4358833-3
4536947	4282648-2
4536947	4282648-3
4536947	4505026-1
4536947	4505026-4
4543594	4471368-1
4543594	4543594-2
4546472	5581594-1
4546472	7705620-3
4547867	4239990-3
4547867	4406013-1
4547867	4406013-3
4551910	4551910-1
4570220	4570220-1
4570220	4570220-2
4570220	4570220-3
4570220	4570220-4
4570220	4570220-5
4570220	4570220-6
4570220	7532611-1
4571709	4437025-1
4571709	4571709-2
4571709	4571709-3
4573045	4573045-1
4574250	4574250-1
4577295	4432075-1
4577295	4451748-1
4577295	4577295-1
4577295	4577295-4
4584492	4584492-1
4584672	4202045-2
4584672	4584672-2
4587138	3997367-1
4587138	4587138-1
4587138	4587138-2
4587138	4587138-3
4587138	4587138-4
4599573	4574250-1
4602314	4602314-1
4613886	4364075-3
4620986	3997367-1
4620986	4587138-1
4620986	4587138-2
4620986	4587138-3
4620986	4587138-4
4621319	4621319-1
4621319	4621319-2
4621319	4621319-3
4633223	4574250-1
4633425	4574250-1
4642798	4566080-1
4645947	4645947-1
4648804	4648804-1
4648804	4648804-2
4649300	4584672-2
4654958	4654958-1
4654958	4654958-2
4654958	4654958-3
4658160	4316106-2
4659094	4868992-1
4664941	4300209-1
4666555	4666555-1
4668041	4668041-1
4668041	4668041-2
4674089	4674089-1
4674089	4674089-2
4675556	4496861-1
4676699	4868992-1
4680635	4680635-1
4682396	4868992-1
4685084	4685084-1
4690728	3997367-1
4690728	4666555-1
4690728	4690728-3
4694412	4358833-3
4694412	4367524-3
4694412	4694412-1
4694412	4694412-2
4694425	4694425-1
4696526	4387946-1
4696526	4696526-2
4700328	4700328-1
4700454	4654958-2
4700454	4654958-3
4700454	4964080-1
4700454	4700454-3
4710647	4316106-2
4713141	4666555-1
4721548	4721548-1
4722005	4722005-1
4727309	4237547-1
4727309	4727309-1
4727518	4727518-1
4728243	4728243-1
4728617	4412310-4
4728617	4728617-1
4728617	4728617-2
4728617	4728617-3
4737926	4737926-1
4737926	4737926-2
4755480	3997367-1
4755480	4755480-2
4755480	4755480-3
4757026	4412310-4
4757026	4728617-1
4757026	4728617-2
4757026	4784965-3
4757468	4358833-3
4757468	4367524-3
4757468	4694412-1
4757468	4694412-2
4761647	4761647-1
4761647	4761647-2
4766372	5969517-1
4768170	4768170-1
4771018	4771018-1
4771018	4771018-2
4774201	4728617-2
4774201	4774201-1
4775550	4243937-2
4775550	5990719-1
4775550	4198250-1
4775550	4775550-4
4775550	4775550-5
4778775	4964080-1
4780424	4412310-4
4780424	6908227-2
4780709	4780709-1
4780814	5603010-2
4782439	5880945-1
4782439	6101578-3
4782439	4782439-3
4783757	4783757-1
4784965	4412310-4
4784965	4728617-1
4784965	4728617-2
4784965	4784965-3
4785396	4785396-1
4785396	4785396-2
4785396	4785396-3
4785396	4785396-4
4785423	4571709-2
4785423	4761647-1
4785423	4785423-1
4785428	5455924-2
4785428	4785428-2
4785428	4785428-3
4785428	4785428-4
4785428	4829425-7
4785428	6047369-2
4786612	3997367-1
4786612	4755480-2
4786612	4755480-3
4788640	4788640-1
4790661	4868992-1
4790920	4790920-1
4791326	4237547-1
4791326	4727309-1
4792955	4438494-2
4792955	4785428-4
4792955	4975831-2
4792955	4792955-3
4794278	4727309-1
4796230	4316106-2
4797852	4797852-1
4797856	6908227-2
